Administrative District,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
18,2017-18,15707,1404,975,1047,1074,1160,1155,1236,1086,1113,1062,1120,1147,994,1134,7585,0.483,8122,0.517,271,0.017,13406,0.854,1176,0.075,80,0.005,208,0.013,531,0.034,35,0.002,3079,0.196,1107,0.07,12397,0.789,0.721
18,2018-19,15006,1320,883,955,1046,1083,1141,1102,1094,1088,1104,1013,1092,980,1105,7207,0.48,7799,0.52,286,0.019,12673,0.845,1183,0.079,78,0.005,179,0.012,565,0.038,42,0.003,3009,0.201,1116,0.074,11623,0.775,0.72
18,2019-20,13951,1493,786,825,912,984,1058,1065,952,1099,1066,914,908,902,987,6653,0.477,7298,0.523,307,0.022,11685,0.838,1144,0.082,84,0.006,117,0.008,560,0.04,54,0.004,2785,0.2,952,0.068,10811,0.775,0.749
18,2020-21,12602,1118,772,764,786,880,931,1013,942,940,1057,863,893,770,873,6037,0.479,6565,0.521,286,0.023,10372,0.823,1155,0.092,95,0.008,113,0.009,525,0.042,56,0.004,2556,0.203,902,0.072,9659,0.766,0.729
19,2016-17,23428,1988,1721,1836,1792,1838,1892,1812,1690,1585,1676,1547,1451,1198,1402,11170,0.477,12258,0.523,1786,0.076,10728,0.458,10036,0.428,69,0.003,326,0.014,434,0.019,49,0.002,4868,0.208,2962,0.126,19669,0.84,0.778
19,2017-18,22742,1823,1670,1677,1750,1706,1835,1804,1655,1684,1574,1466,1462,1305,1331,10966,0.482,11776,0.518,1800,0.079,10012,0.44,10011,0.44,70,0.003,349,0.015,450,0.02,50,0.002,4857,0.214,3027,0.133,20188,0.888,0.872
19,2018-19,22174,1832,1481,1596,1616,1679,1670,1738,1621,1687,1697,1597,1440,1171,1349,10586,0.477,11588,0.523,1757,0.079,9490,0.428,9985,0.45,81,0.004,332,0.015,470,0.021,59,0.003,4809,0.217,3036,0.137,19591,0.884,0.867
19,2019-20,22173,2826,1421,1452,1534,1558,1623,1612,1593,1621,1649,1584,1454,1194,1052,10622,0.479,11551,0.521,1844,0.083,9253,0.417,9885,0.446,91,0.004,331,0.015,473,0.021,296,0.013,4576,0.206,2799,0.126,19452,0.877,0.879
19,2020-21,20872,2330,1230,1358,1379,1432,1485,1545,1424,1563,1587,1641,1511,1233,1154,9896,0.474,10976,0.526,1786,0.086,8544,0.409,9418,0.451,174,0.008,323,0.015,440,0.021,187,0.009,4361,0.209,2698,0.129,18181,0.871,0.864
20,2016-17,54379,4251,4251,4091,4330,4095,4167,4102,3996,3932,3915,3645,3775,2827,3002,26126,0.48,28253,0.52,23532,0.433,1640,0.03,14115,0.26,248,0.005,157,0.003,14503,0.267,184,0.003,8099,0.149,13035,0.24,38214,0.703,0.625
20,2017-18,54156,4119,4352,4214,4001,4221,4008,4091,4123,3998,3994,3648,3579,2711,3097,26078,0.482,28075,0.518,23563,0.435,1536,0.028,14151,0.261,276,0.005,170,0.003,14301,0.264,159,0.003,8340,0.154,12740,0.235,42279,0.781,0.766
20,2018-19,53980,4238,3884,4354,4085,3949,4167,3979,4148,4120,4046,3764,3594,2660,2992,25901,0.48,28079,0.52,23562,0.436,1388,0.026,14307,0.265,317,0.006,173,0.003,14065,0.261,168,0.003,8647,0.16,11909,0.221,41643,0.771,0.761
20,2019-20,54077,4531,3920,3861,4276,4050,3948,4150,4018,4162,4173,3849,3640,2769,2730,26009,0.481,28068,0.519,23665,0.438,1300,0.024,14511,0.268,362,0.007,189,0.003,13870,0.256,180,0.003,8615,0.159,11029,0.204,41532,0.768,0.773
20,2020-21,52641,4184,3719,3800,3683,4101,3948,3860,4061,3982,4119,3772,3640,2963,2809,25365,0.482,27276,0.518,23201,0.441,1258,0.024,14064,0.267,424,0.008,197,0.004,13295,0.253,202,0.004,8502,0.162,11853,0.225,39766,0.755,0.746
21,2016-17,37345,3023,2193,2237,2270,2240,2294,2043,3091,2954,2903,3492,3260,2777,2568,18194,0.487,19151,0.513,9242,0.247,5663,0.152,9346,0.25,176,0.005,197,0.005,12444,0.333,277,0.007,6785,0.182,6283,0.168,25175,0.674,0.614
21,2017-18,37423,2980,2278,2187,2212,2287,2241,2223,3113,3053,2990,3347,3281,2520,2711,18120,0.484,19297,0.516,9515,0.254,5391,0.144,9270,0.248,203,0.005,203,0.005,12535,0.335,306,0.008,6824,0.182,6352,0.17,27990,0.748,0.735
21,2018-19,37136,2979,2131,2275,2161,2179,2269,2237,3214,3105,3082,3296,3085,2544,2579,17996,0.485,19140,0.515,9489,0.256,5094,0.137,9197,0.248,238,0.006,216,0.006,12603,0.339,299,0.008,6952,0.187,6454,0.174,27062,0.729,0.732
21,2019-20,37073,3145,2208,2150,2193,2173,2177,2258,3240,3229,3115,3423,2977,2409,2376,18108,0.488,18965,0.512,9546,0.257,4794,0.129,9249,0.249,282,0.008,233,0.006,12582,0.339,387,0.01,6806,0.184,6296,0.17,27251,0.735,0.749
21,2020-21,36039,2746,1924,2086,2043,2070,2094,2082,3304,3157,3172,3261,3238,2436,2426,17598,0.488,18441,0.512,9386,0.26,4548,0.126,9056,0.251,301,0.008,281,0.008,12059,0.335,408,0.011,6505,0.18,6796,0.189,25756,0.715,0.731
22,2016-17,35679,2809,2662,2804,2871,2777,2931,2782,2088,2096,2134,2710,2727,2137,2151,17580,0.493,18098,0.507,6950,0.195,11367,0.319,5422,0.152,307,0.009,245,0.007,11259,0.316,129,0.004,5895,0.165,3966,0.111,24024,0.673,0.525
22,2017-18,35692,2788,2663,2688,2779,2824,2802,2869,2065,2130,2104,2815,2737,2293,2135,17598,0.493,18091,0.507,7171,0.201,10851,0.304,5518,0.155,341,0.01,253,0.007,11415,0.32,143,0.004,6031,0.169,4237,0.119,25642,0.718,0.649
22,2018-19,35570,2858,2528,2691,2620,2726,2797,2793,2057,2076,2130,2867,2827,2279,2321,17629,0.496,17941,0.504,7386,0.208,10294,0.289,5482,0.154,409,0.011,280,0.008,11554,0.325,165,0.005,6070,0.171,4131,0.116,25020,0.703,0.644
22,2019-20,34997,3068,2526,2554,2623,2569,2636,2759,2008,2026,2054,2617,2832,2382,2343,17322,0.495,17675,0.505,7418,0.212,9621,0.275,5472,0.156,432,0.012,275,0.008,11632,0.332,147,0.004,6099,0.174,3980,0.114,24374,0.696,0.66
22,2020-21,33431,2697,2264,2398,2409,2500,2464,2550,1960,1983,1986,2629,2706,2490,2395,16477,0.493,16954,0.507,7353,0.22,8942,0.267,5157,0.154,445,0.013,294,0.009,11031,0.33,209,0.006,5836,0.175,4148,0.124,22918,0.686,0.634
23,2016-17,9667,815,675,767,792,753,758,690,894,906,857,383,465,432,480,4480,0.463,5187,0.537,111,0.011,7228,0.748,2043,0.211,36,0.004,110,0.011,121,0.013,18,0.002,2384,0.247,444,0.046,8677,0.898,0.82
23,2017-18,9539,1047,632,683,714,766,727,694,863,878,883,352,436,394,470,4394,0.461,5145,0.539,108,0.011,7111,0.745,2032,0.213,43,0.005,98,0.01,129,0.014,18,0.002,2449,0.257,447,0.047,8684,0.91,0.893
23,2018-19,9290,1385,608,632,671,700,716,649,846,860,839,371,345,326,342,4306,0.464,4984,0.536,122,0.013,6899,0.743,1968,0.212,50,0.005,109,0.012,126,0.014,16,0.002,2367,0.255,444,0.048,8345,0.898,0.885
23,2019-20,9199,1655,597,589,620,622,668,653,764,841,837,366,327,308,352,4141,0.45,5058,0.55,121,0.013,6698,0.728,1976,0.215,56,0.006,101,0.011,133,0.014,114,0.012,2234,0.243,430,0.047,8115,0.882,0.893
23,2020-21,8309,1097,567,562,561,607,599,641,705,749,818,388,343,351,321,3767,0.453,4542,0.547,117,0.014,5969,0.718,1834,0.221,110,0.013,91,0.011,129,0.016,59,0.007,1993,0.24,413,0.05,7253,0.873,0.887
24,2016-17,61268,4009,4914,5124,5047,5157,5083,4803,4344,4356,4258,3935,3683,3152,3403,28976,0.473,32292,0.527,12309,0.201,1642,0.027,38110,0.622,197,0.003,256,0.004,8522,0.139,232,0.004,9941,0.162,13737,0.224,42405,0.692,0.573
24,2017-18,60732,3980,4774,4852,4904,4947,5084,4768,4314,4446,4362,4090,3542,3173,3496,28782,0.474,31948,0.526,12254,0.202,1574,0.026,37797,0.622,234,0.004,314,0.005,8295,0.137,264,0.004,10195,0.168,13223,0.218,47586,0.784,0.733
24,2018-19,59578,4035,4520,4612,4704,4797,4897,4830,4220,4439,4419,3909,3730,2962,3504,28230,0.474,31348,0.526,11824,0.198,1514,0.025,37413,0.628,251,0.004,325,0.005,7966,0.134,285,0.005,10217,0.171,12795,0.215,45397,0.762,0.725
24,2019-20,58313,4239,4348,4475,4516,4604,4754,4557,4250,4369,4475,3863,3582,3148,3133,27789,0.477,30524,0.523,11495,0.197,1444,0.025,36724,0.63,246,0.004,332,0.006,7694,0.132,378,0.006,10025,0.172,12291,0.211,44650,0.766,0.74
24,2020-21,55158,3531,4082,4074,4267,4336,4417,4356,4009,4278,4311,3575,3552,3046,3324,26309,0.477,28849,0.523,10921,0.198,1371,0.025,34902,0.633,279,0.005,322,0.006,7063,0.128,300,0.005,9495,0.172,12847,0.233,41793,0.758,0.725
25,2016-17,39383,3165,3021,2851,2956,2907,3042,2759,2815,2731,2606,3064,2811,2406,2249,19336,0.491,20047,0.509,19275,0.489,3049,0.077,11216,0.285,295,0.007,210,0.005,5186,0.132,152,0.004,5587,0.142,7335,0.186,26005,0.66,0.45
25,2017-18,39585,3098,3036,3015,2790,2906,2879,3005,2826,2796,2761,2960,2705,2490,2318,19398,0.49,20187,0.51,19490,0.492,2968,0.075,11434,0.289,341,0.009,222,0.006,4969,0.126,161,0.004,5667,0.143,7399,0.187,28202,0.712,0.636
25,2018-19,39037,3080,2847,2989,2921,2769,2820,2839,2959,2798,2786,2954,2569,2348,2358,19090,0.489,19947,0.511,19256,0.493,2750,0.07,11451,0.293,362,0.009,244,0.006,4771,0.122,203,0.005,5701,0.146,7036,0.18,26941,0.69,0.63
25,2019-20,38687,3052,2858,2845,2975,2873,2713,2801,2872,2952,2827,2819,2703,2304,2093,18946,0.49,19741,0.51,19036,0.492,2525,0.065,11738,0.303,376,0.01,225,0.006,4557,0.118,230,0.006,5729,0.148,6825,0.176,27012,0.698,0.654
25,2020-21,37515,2907,2683,2755,2751,2851,2789,2625,2780,2810,2887,2465,2658,2434,2120,18279,0.487,19236,0.513,18682,0.498,2329,0.062,11404,0.304,419,0.011,231,0.006,4209,0.112,241,0.006,5567,0.148,7201,0.192,25917,0.691,0.636
26,2016-17,32963,1799,1747,1858,1857,1877,2015,1853,1912,2031,1951,4131,3618,3445,2869,16045,0.487,16918,0.513,17318,0.525,3727,0.113,5559,0.169,370,0.011,232,0.007,5596,0.17,161,0.005,4594,0.139,2432,0.074,18229,0.553,0.305
26,2017-18,32891,1745,1874,1745,1861,1862,1869,2026,1965,1924,2071,4034,3503,3347,3065,15967,0.485,16920,0.514,17392,0.529,3706,0.113,5651,0.172,408,0.012,265,0.008,5382,0.164,87,0.003,4794,0.146,2518,0.077,19520,0.593,0.465
26,2018-19,32678,1746,1812,1900,1784,1851,1887,1902,2167,1994,1933,4160,3314,3119,3109,15921,0.487,16757,0.513,17289,0.529,3748,0.115,5649,0.173,455,0.014,263,0.008,5162,0.158,112,0.003,4800,0.147,2633,0.081,18759,0.574,0.468
26,2019-20,32524,1777,1788,1813,1901,1764,1834,1885,2067,2185,2030,4067,3433,3046,2934,15853,0.487,16671,0.513,17329,0.533,3607,0.111,5607,0.172,482,0.015,371,0.011,5028,0.155,100,0.003,4785,0.147,2566,0.079,18955,0.583,0.497
26,2020-21,31661,1694,1670,1695,1736,1833,1722,1795,1927,1997,2167,3898,3414,3164,2949,15492,0.489,16169,0.511,17039,0.538,3434,0.108,5603,0.177,481,0.015,355,0.011,4600,0.145,149,0.005,4598,0.145,2928,0.092,17874,0.565,0.482
27,2016-17,45691,3029,3460,3494,3672,3681,3740,3579,3590,3631,3708,2974,2581,2458,2094,21884,0.479,23807,0.521,10418,0.228,10634,0.233,17561,0.384,296,0.006,1854,0.041,4744,0.104,184,0.004,7993,0.175,4867,0.107,33911,0.742,0.552
27,2017-18,44879,2994,3314,3401,3403,3575,3534,3701,3542,3602,3636,3157,2632,2228,2160,21556,0.48,23323,0.52,10230,0.228,10085,0.225,17445,0.389,321,0.007,1913,0.043,4689,0.104,196,0.004,7982,0.178,5000,0.111,35051,0.781,0.7
27,2018-19,45146,3811,3223,3247,3299,3298,3527,3536,3700,3560,3586,3196,2719,2448,1996,21532,0.477,23614,0.523,10200,0.226,9947,0.22,17765,0.394,354,0.008,1995,0.044,4706,0.104,179,0.004,8183,0.181,4825,0.107,34029,0.754,0.688
27,2019-20,45820,5118,3060,3170,3169,3237,3250,3541,3488,3733,3552,3238,2708,2288,2268,21855,0.477,23965,0.523,10302,0.225,9808,0.214,18265,0.399,395,0.009,2043,0.045,4710,0.103,297,0.006,8111,0.177,4595,0.1,34536,0.754,0.71
27,2020-21,43662,4576,2787,2986,3023,3040,3142,3173,3408,3451,3662,2853,2791,2381,2389,20811,0.477,22851,0.523,9729,0.223,9159,0.21,17571,0.402,472,0.011,1970,0.045,4526,0.104,235,0.005,7713,0.177,4552,0.104,32446,0.743,0.691
28,2016-17,42865,3229,2823,2937,2829,2877,2817,2653,2566,2447,2474,4045,4041,3702,3425,21126,0.493,21739,0.507,12446,0.29,9580,0.223,11678,0.272,592,0.014,1404,0.033,6929,0.162,236,0.006,6505,0.152,4251,0.099,28049,0.654,0.468
28,2017-18,42671,3298,2751,2827,2820,2784,2845,2748,2588,2533,2474,3996,3884,3624,3499,21111,0.495,21556,0.505,12503,0.293,9100,0.213,11666,0.273,655,0.015,1519,0.036,6972,0.163,256,0.006,6538,0.153,4450,0.104,30065,0.705,0.615
28,2018-19,42379,3253,2763,2715,2731,2775,2715,2785,2642,2526,2519,4074,3907,3427,3547,20937,0.494,21442,0.506,12674,0.299,8474,0.2,11745,0.277,737,0.017,1509,0.036,6953,0.164,287,0.007,6592,0.156,4551,0.107,29418,0.694,0.612
28,2019-20,42006,3625,2752,2707,2653,2637,2695,2592,2603,2589,2534,3985,3791,3525,3318,20740,0.494,21266,0.506,12480,0.297,7948,0.189,11959,0.285,803,0.019,1547,0.037,6832,0.163,437,0.01,6460,0.154,4337,0.103,28657,0.682,0.633
28,2020-21,40681,3259,2529,2655,2530,2511,2518,2547,2484,2546,2572,3881,3743,3533,3373,20299,0.499,20382,0.501,12528,0.308,7444,0.183,11559,0.284,827,0.02,1488,0.037,6454,0.159,381,0.009,6137,0.151,4436,0.109,26769,0.658,0.614
29,2016-17,28174,2334,2275,2391,2232,2375,2661,2517,2276,2282,2314,1108,1207,1173,1029,13678,0.485,14496,0.515,4419,0.157,17770,0.631,4300,0.153,197,0.007,853,0.03,524,0.019,111,0.004,4520,0.16,2274,0.081,20302,0.721,0.488
29,2017-18,27663,2343,2206,2283,2375,2231,2374,2613,2303,2206,2268,1073,1135,1076,1177,13395,0.484,14268,0.516,4446,0.161,17027,0.616,4366,0.158,233,0.008,986,0.036,508,0.018,97,0.004,4472,0.162,2300,0.083,20856,0.754,0.634
29,2018-19,26894,2215,2125,2230,2228,2310,2291,2392,2338,2278,2227,1069,1070,1055,1066,12950,0.482,13944,0.518,4411,0.164,16332,0.607,4361,0.162,232,0.009,1013,0.038,480,0.018,65,0.002,4486,0.167,2320,0.086,19692,0.732,0.628
29,2019-20,26140,2320,2038,2128,2170,2165,2290,2245,2207,2309,2264,1165,987,917,935,12591,0.482,13549,0.518,4370,0.167,15437,0.591,4467,0.171,258,0.01,1025,0.039,467,0.018,116,0.004,4344,0.166,2311,0.088,19225,0.735,0.658
29,2020-21,24612,1958,1801,1983,2045,2080,2104,2240,2110,2172,2251,1041,1033,888,906,11810,0.48,12802,0.52,4265,0.173,14046,0.571,4388,0.178,302,0.012,1010,0.041,483,0.02,118,0.005,4042,0.164,2372,0.096,17625,0.716,0.645
30,2016-17,41440,3203,3052,3140,3109,3021,3173,3022,3441,3095,3325,3018,2652,2077,2112,20444,0.493,20996,0.507,9076,0.219,2751,0.066,22051,0.532,437,0.011,278,0.007,6692,0.161,155,0.004,5970,0.144,7141,0.172,27524,0.664,0.556
30,2017-18,41144,3230,2930,2989,3038,2993,2945,3141,3340,3237,3111,3029,2829,2191,2141,20309,0.494,20835,0.506,8859,0.215,2674,0.065,21888,0.532,497,0.012,313,0.008,6784,0.165,129,0.003,6075,0.148,7044,0.171,30023,0.73,0.703
30,2018-19,40730,3219,2898,2885,2897,2947,2952,2967,3439,3162,3242,2894,2662,2329,2237,20135,0.494,20595,0.506,8769,0.215,2622,0.064,21494,0.528,582,0.014,308,0.008,6821,0.167,134,0.003,6148,0.151,6565,0.161,28693,0.704,0.69
30,2019-20,39837,3213,2912,2814,2781,2796,2860,2923,3272,3199,3120,2770,2500,2336,2341,19753,0.496,20084,0.504,8371,0.21,2454,0.062,21055,0.529,637,0.016,262,0.007,6851,0.172,207,0.005,6076,0.153,6094,0.153,27921,0.701,0.694
30,2020-21,37978,2919,2550,2683,2635,2627,2662,2830,3061,3063,3163,2832,2555,2183,2215,18890,0.497,19088,0.503,8020,0.211,2356,0.062,19852,0.523,676,0.018,259,0.007,6600,0.174,215,0.006,5778,0.152,6430,0.169,26691,0.703,0.677
31,2016-17,62910,4097,4520,4675,4662,4693,4687,4598,4217,4202,4379,5153,4766,4280,3981,30618,0.487,32292,0.513,5728,0.091,8179,0.13,17693,0.281,841,0.013,282,0.004,29967,0.476,220,0.003,14839,0.236,3579,0.057,34627,0.55,0.425
31,2017-18,62537,3948,4412,4610,4662,4612,4669,4645,4359,4229,4198,4941,4929,4218,4105,30610,0.489,31921,0.51,6232,0.1,7975,0.128,17771,0.284,889,0.014,298,0.005,29163,0.466,209,0.003,15090,0.241,3838,0.061,36156,0.578,0.519
31,2018-19,62265,4090,4264,4518,4564,4560,4555,4624,4371,4371,4197,4724,4619,4588,4220,30549,0.491,31716,0.509,6899,0.111,7735,0.124,17880,0.287,956,0.015,292,0.005,28180,0.453,323,0.005,15258,0.245,3919,0.063,35997,0.578,0.522
31,2019-20,64054,6224,4286,4245,4484,4527,4590,4492,4369,4408,4363,4846,4644,4476,4100,31315,0.489,32739,0.511,7823,0.122,7664,0.12,18544,0.29,1086,0.017,302,0.005,28433,0.444,202,0.003,15478,0.242,3939,0.061,36593,0.571,0.542
31,2020-21,63051,6096,4033,4230,4156,4413,4485,4499,4295,4339,4427,4763,4652,4545,4118,30819,0.489,32232,0.511,8213,0.13,7524,0.119,18320,0.291,1116,0.018,300,0.005,27274,0.433,304,0.005,14980,0.238,4363,0.069,35631,0.565,0.528
32,2016-17,12331,1222,755,885,921,959,942,976,1117,1086,1062,623,781,539,463,6050,0.491,6281,0.509,243,0.02,2073,0.168,9688,0.786,11,0.001,54,0.004,248,0.02,14,0.001,2467,0.2,2343,0.19,10457,0.848,0.791
32,2017-18,11537,1012,687,758,856,853,907,930,1004,1078,1053,581,625,582,611,5616,0.487,5921,0.513,248,0.021,1948,0.169,9000,0.78,14,0.001,51,0.004,254,0.022,22,0.002,2405,0.208,2241,0.194,10426,0.904,0.885
32,2018-19,11029,1082,639,678,700,814,818,905,1040,991,1054,588,600,561,559,5357,0.486,5672,0.514,243,0.022,1837,0.167,8600,0.78,19,0.002,51,0.005,259,0.023,20,0.002,2343,0.212,2038,0.185,9818,0.89,0.872
32,2019-20,11807,1918,648,668,690,688,799,869,993,1037,1017,691,655,590,544,5786,0.49,6021,0.51,248,0.021,1759,0.149,9105,0.771,20,0.002,54,0.005,315,0.027,306,0.026,2264,0.192,2272,0.192,10094,0.855,0.881
32,2020-21,11204,1745,538,651,656,674,679,789,956,961,1019,669,676,625,566,5427,0.484,5777,0.516,245,0.022,1766,0.158,8602,0.768,91,0.008,54,0.005,307,0.027,139,0.012,2147,0.192,2253,0.201,9338,0.833,0.865
75,2016-17,24604,334,1294,1737,1792,1948,1852,1702,1611,1556,1524,2080,1783,1517,3874,6655,0.27,17949,0.73,1819,0.074,9076,0.369,9872,0.401,162,0.007,361,0.015,3308,0.134,6,0,24092,0.979,5335,0.217,15999,0.65,0.709
75,2017-18,24864,325,1455,1638,1831,1838,1951,1866,1588,1636,1559,1987,1776,1544,3870,6643,0.267,18221,0.733,1971,0.079,9014,0.363,9953,0.4,180,0.007,425,0.017,3316,0.133,5,0,24470,0.984,5540,0.223,21643,0.87,0.891
75,2018-19,25479,388,1540,1794,1737,1890,1866,1969,1754,1632,1602,1933,1818,1487,4069,6819,0.268,18659,0.732,2204,0.087,9038,0.355,10278,0.403,208,0.008,458,0.018,3290,0.129,3,0,25075,0.984,5794,0.227,22031,0.865,0.89
75,2019-20,26174,432,1749,1823,1914,1814,1925,1862,1874,1756,1658,1944,1741,1509,4173,6941,0.265,19233,0.735,2393,0.091,9126,0.349,10671,0.408,245,0.009,431,0.016,3272,0.125,36,0.001,25806,0.986,5957,0.228,22922,0.876,0.9
75,2020-21,26524,408,1727,1937,1901,1898,1804,1891,1755,1895,1732,1875,1782,1474,4445,7025,0.265,19499,0.735,2517,0.095,9229,0.348,10850,0.409,243,0.009,425,0.016,3247,0.122,13,0,26236,0.989,5782,0.218,23047,0.869,0.888
79,2016-17,5829,0,0,0,0,0,0,0,5,21,168,460,4154,120,901,2057,0.353,3772,0.647,620,0.106,2275,0.39,2429,0.417,16,0.003,89,0.015,400,0.069,0,0,964,0.165,734,0.126,2684,0.46,0.69
79,2017-18,5092,0,0,0,0,0,0,0,3,15,184,345,3800,105,640,1876,0.368,3216,0.632,562,0.11,1963,0.386,2149,0.422,29,0.006,76,0.015,313,0.061,0,0,862,0.169,622,0.122,3807,0.748,0.86
79,2018-19,5100,0,0,0,0,0,0,0,8,24,130,282,3779,92,785,1765,0.346,3335,0.654,531,0.104,1891,0.371,2253,0.442,21,0.004,75,0.015,329,0.065,0,0,874,0.171,716,0.14,3724,0.73,0.85
79,2019-20,9025,0,0,0,0,0,0,1,3,25,175,338,3948,566,3969,3360,0.372,5665,0.628,884,0.098,3151,0.349,4206,0.466,32,0.004,147,0.016,598,0.066,7,0.001,1872,0.207,1410,0.156,6992,0.775,0.868
79,2020-21,7234,0,0,0,0,0,0,0,3,9,146,270,3693,457,2656,2713,0.375,4521,0.625,691,0.096,2577,0.356,3329,0.46,25,0.003,100,0.014,508,0.07,4,0.001,1600,0.221,1052,0.145,5662,0.783,0.865
84,2016-17,105065,518,11049,11370,10877,10306,8426,8453,9433,8814,7195,6320,5146,3865,3293,53357,0.508,51708,0.492,2606,0.025,56490,0.538,39389,0.375,775,0.007,1035,0.01,4449,0.042,321,0.003,18001,0.171,7119,0.068,81394,0.775,0.674
84,2017-18,113528,533,11445,12016,11447,10857,10032,9584,9887,9042,8251,6784,5601,4314,3735,57761,0.509,55766,0.491,2946,0.026,60025,0.529,43171,0.38,980,0.009,1148,0.01,4978,0.044,280,0.002,20002,0.176,7859,0.069,92292,0.813,0.756
84,2018-19,119551,524,12001,12103,11765,10955,10196,10568,10871,9568,8690,6954,6480,4764,4112,60958,0.51,58593,0.49,3256,0.027,61792,0.517,46552,0.389,1113,0.009,1358,0.011,5199,0.043,281,0.002,21281,0.178,8264,0.069,96585,0.808,0.754
84,2019-20,129668,572,13217,13130,12313,11798,10928,11152,12087,10677,9320,7553,6867,5556,4498,65986,0.509,63682,0.491,3732,0.029,65654,0.506,51836,0.4,1228,0.009,1433,0.011,5516,0.043,269,0.002,23257,0.179,9256,0.071,104010,0.802,0.781
84,2020-21,138648,636,13122,13775,13331,12526,11982,11474,12952,12093,10584,7746,7269,6065,5093,70093,0.506,68555,0.494,4292,0.031,68676,0.495,56084,0.405,1543,0.011,1556,0.011,6052,0.044,445,0.003,24752,0.179,10628,0.077,110799,0.799,0.772
